"","interval","location"
"406",1,"tolosa"
"407",1,"tolosa"
"408",1,"tolosa"
"409",1,"tolosa"
"410",1,"tolosa"
"411",1,"tolosa"
"412",1,"tolosa"
"413",1,"tolosa"
"414",1,"tolosa"
"415",1,"tolosa"
"416",4,"tolosa"
"417",2,"tolosa"
"418",3,"tolosa"
"419",1,"tolosa"
"420",1,"tolosa"
"421",3,"tolosa"
"422",1,"tolosa"
"423",1,"tolosa"
"424",1,"tolosa"
"425",1,"tolosa"
"426",1,"tolosa"
"427",1,"tolosa"
"428",1,"tolosa"
"429",1,"tolosa"
"430",4,"tolosa"
"431",1,"tolosa"
"432",1,"tolosa"
"433",1,"tolosa"
"434",5,"tolosa"
"435",1,"tolosa"
"436",1,"tolosa"
"437",8,"tolosa"
"438",4,"tolosa"
"439",4,"tolosa"
"440",1,"tolosa"
"441",2,"tolosa"
"442",1,"tolosa"
"443",1,"tolosa"
"444",1,"tolosa"
"445",1,"tolosa"
"446",2,"tolosa"
"447",7,"tolosa"
"448",1,"tolosa"
"449",1,"tolosa"
"450",5,"tolosa"
"451",7,"tolosa"
"452",1,"tolosa"
"453",1,"tolosa"
"454",1,"tolosa"
"455",2,"tolosa"
"456",1,"tolosa"
"457",1,"tolosa"
"458",1,"tolosa"
"459",1,"tolosa"
"460",1,"tolosa"
"461",1,"tolosa"
"462",9,"tolosa"
"463",2,"tolosa"
"464",1,"tolosa"
"465",2,"tolosa"
"466",2,"tolosa"
"467",1,"tolosa"
"468",1,"tolosa"
"469",1,"tolosa"
"470",1,"tolosa"
"471",1,"tolosa"
"472",2,"tolosa"
"473",1,"tolosa"
"474",5,"tolosa"
"475",1,"tolosa"
"476",3,"tolosa"
"477",2,"tolosa"
"478",2,"tolosa"
"479",4,"tolosa"
"480",3,"tolosa"
"481",1,"tolosa"
"482",1,"tolosa"
"483",1,"tolosa"
"484",1,"tolosa"
"485",1,"tolosa"
"486",6,"tolosa"
"487",1,"tolosa"
"488",1,"tolosa"
"489",1,"tolosa"
"490",1,"tolosa"
"491",1,"tolosa"
"492",1,"tolosa"
"493",2,"tolosa"
"494",2,"tolosa"
"495",1,"tolosa"
"496",8,"tolosa"
"497",4,"tolosa"
"498",1,"tolosa"
"499",1,"tolosa"
"500",1,"tolosa"
"501",3,"tolosa"
"502",1,"tolosa"
"503",1,"tolosa"
"504",4,"tolosa"
"505",1,"tolosa"
"506",1,"tolosa"
"507",1,"tolosa"
"508",3,"tolosa"
"509",1,"tolosa"
"510",1,"tolosa"
"511",1,"tolosa"
"512",1,"tolosa"
"513",2,"tolosa"
"514",1,"tolosa"
"515",1,"tolosa"
"516",1,"tolosa"
"517",2,"tolosa"
"518",1,"tolosa"
"519",1,"tolosa"
"520",1,"tolosa"
"521",2,"tolosa"
"522",1,"tolosa"
"523",1,"tolosa"
"524",4,"tolosa"
