"","region","name","FID"
"168","America-Australia","Lonchura castaneothorax ",14.4
"169","America-Australia","Lonchura punctulata ",11.1
"170","America-Australia","Lopholaimus antarcticus",15
"171","America-Australia","Macropygia amboinensis ",8.9
"172","America-Australia","Malacorhynchus membranaceus",31.5
"173","America-Australia","Malurus cyaneus",6.5
"174","America-Australia","Malurus lamberti ",4.5
"175","America-Australia","Manorina melanocephala ",7.5
"176","America-Australia","Manorina melanophrys ",2.7
"177","America-Australia","Megalurus gramineus",6.5
"178","America-Australia","Megalurus timoriensis",6
"179","America-Australia","Megapodius reinwardt",25.9
"180","America-Australia","Meliphaga lewinii ",8.2
"181","America-Australia","Melospiza melodia ",8.3
"182","America-Australia","Menura novaehollandiae",10.5
"183","America-Australia","Merops ornatus",23
"184","America-Australia","Mesophoyx intermedia",30.6
"185","America-Australia","Microcarbo melanoleucos",46.1
"186","America-Australia","Milvus migrans",57
"187","America-Australia","Monarcha melanopsis",11
"188","America-Australia","Motacilla alba ",7.7
"189","America-Australia","Myiagra cyanoleuca",9.7
"190","America-Australia","Myiagra rubecula",10
"191","America-Australia","Myzomela obscura",2
"192","America-Australia","Nectarinia jugularis",10.9
"193","America-Australia","Neochmia temporalis ",7.1
"194","America-Australia","Numenius madagascariensis",97.5
"195","America-Australia","Numenius phaeopus",90
"196","America-Australia","Nycticorax caledonicus",16.6
"197","America-Australia","Ocyphaps lophotes ",12.6
"198","America-Australia","Origma solitaria",17.1
"199","America-Australia","Oriolus sagittatus ",10.2
"200","America-Australia","Orthonyx spaldingii",4
"201","America-Australia","Orthonyx temminckii",4.5
"202","America-Australia","Oxyura australis",68.3
"203","America-Australia","Pachycephala olivacea",3.8
"204","America-Australia","Pachycephala pectoralis ",7.9
"205","America-Australia","Pachycephala rufiventris",5.2
"206","America-Australia","Pardalotus punctatus",4
"207","America-Australia","Pelecanus conspicillatus",32.6
"208","America-Australia","Pelecanus occidentalis",27.38
"209","America-Australia","Petrochelidon ariel",8.9
"210","America-Australia","Petroica boodang",8
"211","America-Australia","Petroica rosea",13.1
"212","America-Australia","Phalacrocorax auritus",31.27
"213","America-Australia","Phalacrocorax carbo",74
"214","America-Australia","Phalacrocorax sulcirostris",57.3
"215","America-Australia","Phalacrocorax varius",77.9
"216","America-Australia","Phaps chalcopetra",21.6
"217","America-Australia","Philemon buceroides",12
"218","America-Australia","Philemon citreogularis",6.8
"219","America-Australia","Philemon corniculatus",11.1
"220","America-Australia","Phylidonyris melanops ",9.8
"221","America-Australia","Phylidonyris niger",2.3
"222","America-Australia","Phylidonyris novaehollandidae ",6.6
"223","America-Australia","Phylloscopus collybita",6
"224","America-Australia","Pipilo crissalis",11.9
"225","America-Australia","Pipilo maculatus ",9.4
"226","America-Australia","Platalea flavipes",24.7
"227","America-Australia","Platalea regia",55
"228","America-Australia","Platycercus adscitus",21
"229","America-Australia","Platycercus elegans ",8.5
"230","America-Australia","Platycercus eximius ",13.9
"231","America-Australia","Plectorhyncha lanceolata",4.6
"232","America-Australia","Plegadis falcinellus",56.3
"233","America-Australia","Pluvialis dominica",49.33
"234","America-Australia","Pluvialis fulva ",21.9
"235","America-Australia","Pluvialis squatarola",44
"236","America-Australia","Podargus strigoides",6.2
"237","America-Australia","Poliocephalus poliocephalus",23.8
"238","America-Australia","Pomatostomus ruficeps",11.8
"239","America-Australia","Pomatostomus superciliosus",16.9
"240","America-Australia","Pooecetes gramineus",16.95
"241","America-Australia","Porphyrio porphyria",57.9
"242","America-Australia","Porzana pusilla",8.2
"243","America-Australia","Psaltriparus minimus ",7.4
"244","America-Australia","Psephotus haematonotus",11.2
"245","America-Australia","Psophodes olivaceus",5.8
"246","America-Australia","Ptilonorhynchus violaceus",8.4
"247","America-Australia","Ptiloris victoriae",6.5
"248","America-Australia","Pycnonotus jocosus ",17.3
"249","America-Australia","Pycnoptilus floccosus",16.9
"250","America-Australia","Recurvirostra novaehollandiae",32.5
"251","America-Australia","Regulus calendula ",4.7
"252","America-Australia","Rhipidura fuliginosa",5.6
"253","America-Australia","Rhipidura leucophrys",23.5
"254","America-Australia","Rhipidura rufifrons ",6.4
"255","America-Australia","Rynchops niger",26.63
"256","America-Australia","Scenopoeetes dentirostris",5.2
"257","America-Australia","Sericornis citreogularis",5.6
"258","America-Australia","Sericornis frontalis",4.2
"259","America-Australia","Sericornis keri",4.9
"260","America-Australia","Sericornis magnirostris ",4.4
"261","America-Australia","Sphecotheres vieilloti",7.8
"262","America-Australia","Sterna albifrons ",21.5
"263","America-Australia","Sterna bergii",17.71
"264","America-Australia","Sterna caspia ",35
"265","America-Australia","Sterna hirundo",20.5
"266","America-Australia","Stipiturus malachurus ",7
"267","America-Australia","Strepera graculina",14.8
"268","America-Australia","Streptopelia chinensis ",12.7
"269","America-Australia","Strix occidentalis occidentalis",7.8
"270","America-Australia","Struthidea cinerea",20.7
"271","America-Australia","Sturnella neglecta",37.73
"272","America-Australia","Sturnus unicolor ",13.2
"273","America-Australia","Sturnus vulgaris",14
