species,Endocranial volume,Endocranial volume mm3,Log ECV,Mass_g,Log mass,Relative brain size,Encephalization quotient,Log neocortex,Neocortex volume,Neocortex rest of brain,Log neocortex ROB,Relative neocortex size,Log cerebellum,Cerebellum volume,Cerebellum rest of brain,Log cerebellum ROB,Relative cerebellum size,Group size,Log group size,Social cohesion,Diet,Dietary breadth,Habitat variability,Home range,Log home range,Gestation length,Log gestation length ,Maximum longevity,Log maximum longevity,Fertility,Log fertility,Age at first reproduction,Log age at first reproduction,Weaning age,Log weaning age,taxa
Panthera_pardus_FELIDAE_CARNIVORA,179.43,179430,2.25,31500,4.5,0.248858707,1.47,4.933856433,85872.96,93557.04,4.971076473,0.079722768,4.204883669,16028.16,163401.84,5.213256943,-0.087076879,1,0,1,Carn,1,6,1878,3.27,96,1.982271233,27.3,1.436162647,1.61,0.206825876,2.57,0.409933123,124,2.093421685,felid
Panthera_tigris_FELIDAE_CARNIVORA,247,247000,2.39,130000,5.11,0.017941672,0.81,,,,,,4.729655686,53660.62,193339.38,5.286320322,0.029421413,1,0,1,Carn,1,3,6489,3.81,105,2.021189299,26.3,1.419955748,1.65,0.217483944,3.4,0.531478917,183,2.26245109,felid
Panthera_uncia_FELIDAE_CARNIVORA,107.33,107330,2.03,32500,4.51,0.0227781,0.86,,,,,,,,,,,1,0,1,Carn,1,4,2272,3.36,96.5,1.984527313,21.2,1.326335861,2.22,0.346352974,3.5,0.544068044,114,2.056904851,felid
Potos_flavus_PROCYONIDAE_CARNIVORA,26.14,26140,1.42,2800,3.45,0.057322457,1.04,4.212054365,16295,9845,3.99321572,0.087822325,3.753171548,5664.63,20475.37,4.311231758,0.163977249,1,0,1,Omni,3,1,22,1.34,106.7,2.028164419,38.4,1.584331224,1,0,2.25,0.352182518,90,1.954242509,felid
Procyon_lotor_PROCYONIDAE_CARNIVORA,41.9,41900,1.62,5620,3.75,0.074904243,1.06,4.393320869,24735.51,17164.49,4.234630904,0.060545508,3.905419689,8043.03,33856.97,4.529648089,0.115435033,1,0,1,Omni,4,2,462,2.66,63,1.799340549,21,1.322219295,3.5,0.544068044,1.48,0.170261715,112,2.049218023,felid
Proteles_cristata_HYAENIDAE_CARNIVORA,40.05,40050,1.6,8820,3.95,-0.0667079,0.75,4.291590826,19570,20480,4.311329952,-0.180213416,3.939666987,8702.96,31347.04,4.496196538,0.015822093,1,0,1,Carn,1,3,151,2.18,90,1.954242509,20,1.301029996,2.77,0.442479769,1.8,0.255272505,122,2.086359831,felid
Pteronura_brasiliensis_MUSTELIDAE_CARNIVORA,100.83,100830,2,24000,4.38,0.071825993,0.99,4.920422323,83257.3,17572.7,4.244838495,0.149705987,,,,,,8,0.903089987,4,Pisc,2,5,8585,3.93,67.5,1.829303773,17.3,1.238046103,1.94,0.28780173,2,0.301029996,273.6,2.437116093,felid
Puma_concolor_FELIDAE_CARNIVORA,115.4,115400,2.06,42700,4.63,-0.020189186,0.78,4.847126291,70327.68,45072.32,4.653909913,-0.097376146,4.093886552,12413.28,102986.72,5.012781227,-0.285083151,1,0,1,Carn,1,5,12989,4.11,94,1.973127854,23.8,1.376576957,1.8,0.255272505,2.5,0.397940009,128.1,2.10754913,felid
Speothos_venaticus_CANIDAE_CARNIVORA,40.45,40450,1.61,5990,3.78,0.046662421,0.98,,,,,,,,,,,10,1,4,Carn,1,5,14086,4.15,64.7,1.810904281,14.1,1.149219113,5.83,0.765668555,0.83,-0.080921908,56,1.748188027,felid
Spilogale_putorius_MEPHITIDAE_CARNIVORA,5,5000,0.7,326,2.51,-0.091100472,0.8,,,,,,,,,,,7,0.84509804,3,Omni,3,5,440,2.64,50,1.698970004,10.5,1.021189299,7.1,0.851258349,0.83,-0.080921908,54,1.73239376,felid
Suricata_suricatta_HERPESTIDAE_CARNIVORA,10.28,10280,1.01,726,2.86,0.006078278,0.98,,,,,,3.062878933,1155.79,9124.21,3.960195272,-0.131427665,15,1.176091259,4,Carn,3,4,1176,3.07,70,1.84509804,20.6,1.31386722,10.16,1.006893708,1.83,0.26245109,56,1.748188027,felid
Taxidea_taxus_MUSTELIDAE_CARNIVORA,55.78,55780,1.75,7425,3.87,0.131936957,1.17,4.422542567,26457.12,29322.88,4.467206623,0.006349877,3.616496519,4135.2,51644.8,4.7130266,-0.25380428,1,0,1,Carn,3,3,410,2.61,42.1,1.624282096,25,1.397940009,2,0.301029996,1.5,0.176091259,42,1.62324929,felid
Urocyon_cinereoargenteus_CANIDAE_CARNIVORA,35.8,35800,1.55,4010,3.6,0.09611335,1.12,4.553105939,35736,64,1.806179974,0.324602238,,,,,,1,0,2,Omni,5,3,183,2.26,57,1.755874856,16.2,1.209515015,4.09,0.611723308,0.83,-0.080921908,84,1.924279286,felid
Urocyon_littoralis_CANIDAE_CARNIVORA,28.17,28170,1.45,1896,3.28,0.190692778,1.44,,,,,,,,,,,1,0,1,Omni,5,5,4,0.6,52,1.716003344,5,0.698970004,2.17,0.336459734,0.86,-0.065501549,61,1.785329835,felid
Ursus_americanus_URSIDAE_CARNIVORA,228,228000,2.36,84700,4.93,0.0973926,0.99,4.946551738,88420.25,139579.75,5.144822416,-0.20649402,4.726884276,53319.28,174680.72,5.242244973,0.147124217,1,0,1,Omni,4,6,3125,3.49,90.9,1.958563883,34,1.531478917,1.11,0.045322979,4.5,0.653212514,273.8,2.437433444,felid
Ursus_arctos_URSIDAE_CARNIVORA,336.97,336970,2.53,182000,5.26,0.066732564,0.89,,,,,,,,,,,1,0,1,Omni,4,6,31081,4.49,102,2.008600172,40,1.602059991,0.85,-0.070581074,5,0.698970004,549,2.739572344,felid
Ursus_maritimus_URSIDAE_CARNIVORA,365,365000,2.56,225000,5.35,0.0420071,0.84,5.414232144,259556.64,105443.36,5.023019236,-0.030774264,4.792389448,61999.68,303000.32,5.481443087,-0.068477111,1,0,1,Carn,2,7,7750000,6.89,120,2.079181246,43.8,1.641474111,0.58,-0.236572006,5.5,0.740362689,730,2.86332286,felid
Vormela_peregusna_MUSTELIDAE_CARNIVORA,5.56,5560,0.75,448,2.65,-0.126228972,0.73,,,,,,,,,,,1,0,1,Omni,2,5,55,1.74,61.6,1.789580712,8.9,0.949390007,4.5,0.653212514,0.25,-0.602059991,52,1.716003344,felid
Vulpes_lagopus_CANIDAE_CARNIVORA,41,41000,1.61,3415,3.53,0.1986776,1.43,4.249662987,17769,23231,4.366067905,0.069819394,3.789537704,6159.39,34840.61,4.54208575,0.14679931,3,0.477121255,3,Carn,4,1,1410,3.15,52.5,1.720159303,16.3,1.212187604,7.47,0.873320602,0.83,-0.080921908,63,1.799340549,felid
Vulpes_rueppellii_CANIDAE_CARNIVORA,24.43,24430,1.39,1575,3.2,0.179337635,1.41,4.16678522,14682,9748,3.988915521,0.216339281,,,,,,4,0.602059991,2,Carn,4,3,2993,3.48,53,1.72427587,14.3,1.155336037,2.12,0.326335861,1,0,121.76,2.085504639,felid
Vulpes_velox_CANIDAE_CARNIVORA,30.17,30170,1.48,2345,3.37,0.165967314,1.34,4.249662987,17769,12401,4.093456707,0.181042499,,,,,,1,0,1,Omni,3,2,459,2.66,51,1.707570176,15.9,1.201397124,4.25,0.62838893,0.85,-0.070581074,45.5,1.658011397,felid
Vulpes_vulpes_CANIDAE_CARNIVORA,40.86,40860,1.61,4210,3.62,0.143952135,1.24,4.384111016,24216.48,16643.52,4.221245182,0.141704427,3.614120695,4112.64,36747.36,4.565226144,-0.088854806,3,0.477121255,3,Omni,3,4,350,2.54,52,1.716003344,21.3,1.328379603,3.95,0.596597096,0.83,-0.080921908,49,1.69019608,felid
