codigo,tipo,categoria,dia,finde,ano,hora,momento,distrito,X,Y
120510551,intento,intento,4.JUEVES,NO,2012,18,2.TARDE,RICHMOND,-122.449636,37.78230431
130317068,estrangulamiento,cometido,4.JUEVES,NO,2013,15,2.TARDE,RICHMOND,-122.4761683,37.77299199
180236515,asfixia,cometido,4.JUEVES,NO,2018,17,2.TARDE,RICHMOND,-122.4892912,37.78273584
40580006,intento,intento,4.JUEVES,NO,2004,21,4.NOCHE,RICHMOND,-122.4800373,37.77555024
90275213,arma,cometido,1.LUNES,NO,2009,2,0.MADRUGADA,RICHMOND,-122.5026709,37.77451597
31428623,intento,intento,1.LUNES,NO,2003,10,1.MANANA,RICHMOND,-122.4664244,37.7818716
40332772,intento,intento,1.LUNES,NO,2004,12,1.MANANA,RICHMOND,-122.4856671,37.77906235
31359846,arma,cometido,1.LUNES,NO,2003,17,2.TARDE,RICHMOND,-122.4856671,37.77906235
70055126,intento,intento,1.LUNES,NO,2007,17,2.TARDE,RICHMOND,-122.4701904,37.78087579
70055126,intento,intento,1.LUNES,NO,2007,17,2.TARDE,RICHMOND,-122.4701904,37.78087579
70363593,salto,cometido,1.LUNES,NO,2007,16,2.TARDE,RICHMOND,-122.4662047,37.77254054
70388450,intento,intento,1.LUNES,NO,2007,17,2.TARDE,RICHMOND,-122.5081075,37.77999536
100481853,intento,intento,1.LUNES,NO,2010,14,2.TARDE,RICHMOND,-122.4622787,37.78303595
150196864,asfixia,cometido,1.LUNES,NO,2015,17,2.TARDE,RICHMOND,-122.4795201,37.77471109
30726771,intento,intento,1.LUNES,NO,2003,20,4.NOCHE,RICHMOND,-122.4431455,37.78872767
60682416,intento,intento,1.LUNES,NO,2006,21,4.NOCHE,RICHMOND,-122.4943798,37.78059818
60682416,intento,intento,1.LUNES,NO,2006,21,4.NOCHE,RICHMOND,-122.4943798,37.78059818
60972148,intento,intento,1.LUNES,NO,2006,23,4.NOCHE,RICHMOND,-122.4674886,37.7798912
130039347,intento,intento,1.LUNES,NO,2013,22,4.NOCHE,RICHMOND,-122.4614888,37.78610645
90147559,intento,intento,2.MARTES,NO,2009,4,0.MADRUGADA,RICHMOND,-122.4660187,37.7743137
160299709,arma,cometido,2.MARTES,NO,2016,2,0.MADRUGADA,RICHMOND,-122.4929129,37.76614197
30584579,intento,intento,2.MARTES,NO,2003,10,1.MANANA,RICHMOND,-122.506819,37.77340526
51205304,intento,intento,2.MARTES,NO,2005,12,1.MANANA,RICHMOND,-122.5046139,37.77969879
90148234,estrangulamiento,cometido,2.MARTES,NO,2009,10,1.MANANA,RICHMOND,-122.4652407,37.78670333
90543424,arma,cometido,2.MARTES,NO,2009,11,1.MANANA,RICHMOND,-122.4398523,37.78573939
140081764,otros,cometido,2.MARTES,NO,2014,8,1.MANANA,RICHMOND,-122.5030984,37.78039008
150545835,arma,cometido,2.MARTES,NO,2015,7,1.MANANA,RICHMOND,-122.4890014,37.77229499
30644769,intento,intento,2.MARTES,NO,2003,19,2.TARDE,RICHMOND,-122.4731199,37.78346666
80151485,intento,intento,2.MARTES,NO,2008,14,2.TARDE,RICHMOND,-122.4854159,37.78194474
90791178,estrangulamiento,cometido,2.MARTES,NO,2009,14,2.TARDE,RICHMOND,-122.4624108,37.77725196
120583796,otros,cometido,2.MARTES,NO,2012,13,2.TARDE,RICHMOND,-122.4697662,37.78171356
60200648,intento,intento,2.MARTES,NO,2006,20,4.NOCHE,RICHMOND,-122.4515111,37.77755321
70085468,asfixia,cometido,2.MARTES,NO,2007,21,4.NOCHE,RICHMOND,-122.4997283,37.77842128
110157947,intento,intento,2.MARTES,NO,2011,22,4.NOCHE,RICHMOND,-122.4902274,37.78269292
120387338,intento,intento,2.MARTES,NO,2012,21,4.NOCHE,RICHMOND,-122.4859442,37.78098461
70110269,salto,cometido,3.MIERCOLES,NO,2007,3,0.MADRUGADA,RICHMOND,-122.447842,37.78813407
160261457,intento,intento,3.MIERCOLES,NO,2016,4,0.MADRUGADA,RICHMOND,-122.4776445,37.78513017
30206096,intento,intento,3.MIERCOLES,NO,2003,9,1.MANANA,RICHMOND,-122.4598604,37.77833529
40516465,estrangulamiento,cometido,3.MIERCOLES,NO,2004,7,1.MANANA,RICHMOND,-122.4801725,37.77741405
40543628,salto,cometido,3.MIERCOLES,NO,2004,8,1.MANANA,RICHMOND,-122.4544831,37.78278035
51295189,intento,intento,3.MIERCOLES,NO,2005,11,1.MANANA,RICHMOND,-122.5046139,37.77969879
71317951,intento,intento,3.MIERCOLES,NO,2007,12,1.MANANA,RICHMOND,-122.5038802,37.77823264
90669149,intento,intento,3.MIERCOLES,NO,2009,10,1.MANANA,RICHMOND,-122.478579,37.78322013
150983019,intento,intento,3.MIERCOLES,NO,2015,10,1.MANANA,RICHMOND,-122.3742752,37.81997549
60096384,intento,intento,3.MIERCOLES,NO,2006,18,2.TARDE,RICHMOND,-122.4710564,37.78654166
30153168,otros,cometido,3.MIERCOLES,NO,2003,21,4.NOCHE,RICHMOND,-122.4603564,37.78524651
140684885,intento,intento,6.SABADO,SI,2014,2,0.MADRUGADA,RICHMOND,-122.4708492,37.78166646
31395420,estrangulamiento,cometido,6.SABADO,SI,2003,8,1.MANANA,RICHMOND,-122.4582545,37.77935719
