"","Continent","Disturbance","Order","Family","Scientific.name","Common.name","FID","log.fid"
"75","America-Australia","Pedestrian","Charadriiformes","Charadriidae","Elseyornis melanops","black-fronted dotterel ",24.8,1.39445168082622
"76","America-Australia","Non-motorized watercraft","Charadriiformes","Charadriidae","Erythrogonys cinctus","red-kneed dotterel",12.3,1.0899051114394
"77","America-Australia","Motorized vehicle","Charadriiformes","Charadriidae","Vanellus miles","masked lapwing",40.8,1.61066016308988
"78","America-Australia","Pedestrian","Charadriiformes","Charadriidae","Vanellus miles","masked lapwing",79.7,1.90145832139611
"79","America-Australia","Motorized vehicle","Charadriiformes","Charadriidae","Vanellus miles ","masked lapwing  ",49.9,1.69810054562339
"80","America-Australia","Pedestrian","Charadriiformes","Charadriidae ","Charadrius bicinctus","double-banded plover",32.14,1.50704587242733
"81","America-Australia","Pedestrian","Charadriiformes","Charadriidae ","Charadrius ruficapillus","red-capped plover",32.75,1.5152113043278
"82","America-Australia","Pedestrian","Charadriiformes","Charadriidae ","Charadrius ruficapillus ","red-capped plover ",22,1.34242268082221
"83","America-Australia","Pedestrian","Charadriiformes","Charadriidae ","Elseyornis melanops","black-fronted dotterel",23.88,1.37803432245733
"84","America-Australia","Pedestrian","Charadriiformes","Charadriidae ","Erythrogonys cinctus","red-kneed dotterel",21.2,1.32633586092875
"85","America-Australia","Pedestrian","Charadriiformes","Charadriidae ","Pluvialis dominica","Pacific golden plover",49.33,1.69311111546214
"86","America-Australia","Pedestrian","Charadriiformes","Charadriidae ","Pluvialis fulva ","Pacific golden plover ",21.9,1.34044411484012
"87","America-Australia","Pedestrian","Charadriiformes","Charadriidae ","Pluvialis squatarola","black-bellied plover",44,1.64345267648619
"88","America-Australia","Pedestrian","Charadriiformes","Charadriidae ","Vanellus miles","masked lapwing ",62.62,1.7967130632809
"89","America-Australia","Pedestrian","Charadriiformes","Charadriidae ","Vanellus miles ","masked lapwing ",46.8,1.67024585307412
"90","America-Australia","Pedestrian","Charadriiformes","Charadriidae ","Vanellus tricolor","banded lapwing",74,1.86923171973098
"91","America-Australia","Pedestrian","Charadriiformes","Haematopodidae","Haematopus fuliginosus","sooty oystercatcher",64.28,1.80807586809131
"92","America-Australia","Pedestrian","Charadriiformes","Haematopodidae","Haematopus longirostris","pied oystercatcher ",41.52,1.6182573448404
"93","America-Australia","Pedestrian","Charadriiformes","Haematopodidae ","Haematopus longirostris","pied oystercatcher",82.5,1.91645394854993
"94","America-Australia","Non-motorized watercraft","Charadriiformes","Laridae","Chlidonias hybrida","whiskered tern",11,1.04139268515823
"95","America-Australia","Motorized vehicle","Charadriiformes","Laridae","Chlidonias hybrida ","whiskered tern ",46.5,1.66745295288995
"96","America-Australia","Motorized vehicle","Charadriiformes","Laridae","Larus novaehollandiae","silver gull",17.4,1.2405492482826
"97","America-Australia","Pedestrian","Charadriiformes","Laridae ","Sterna albifrons ","little tern ",21.5,1.33243845991561
"98","America-Australia","Motorized vehicle","Charadriiformes","Recurvirostridae","Himantopus himantopus ","black-winged stilt ",19.7,1.29446622616159
"99","America-Australia","Pedestrian","Charadriiformes","Recurvirostridae","Recurvirostra novaehollandiae","red-necked avocet",32.5,1.51188336097887
"100","America-Australia","Motorized vehicle","Charadriiformes","Recurvirostridae","Recurvirostra novaehollandiae ","red-necked avocet ",56.9,1.75511226639507
"101","America-Australia","Dog","Charadriiformes","Recurvirostridae ","Cladorhynchus leucocephalus","banded stilt",40.2,1.60422605308447
"102","America-Australia","Motorized watercraft","Charadriiformes","Recurvirostridae ","Cladorhynchus leucocephalus","banded stilt",28.8,1.45939248775923
"103","America-Australia","Non-motorized watercraft","Charadriiformes","Recurvirostridae ","Cladorhynchus leucocephalus","banded stilt",24.7,1.39269695325967
"104","America-Australia","Pedestrian","Charadriiformes","Recurvirostridae ","Cladorhynchus leucocephalus","banded stilt",32.8,1.51587384371168
"105","America-Australia","Pedestrian","Charadriiformes","Recurvirostridae ","Himantopus himantopus","black-winged stilt ",38,1.57978359661681
"106","America-Australia","Dog","Charadriiformes","Recurvirostridae ","Himantopus himantopus","black-winged stilt",43.5,1.63848925695464
"107","America-Australia","Motorized watercraft","Charadriiformes","Recurvirostridae ","Himantopus himantopus","black-winged stilt",33.5,1.52504480703685
"108","America-Australia","Non-motorized watercraft","Charadriiformes","Recurvirostridae ","Himantopus himantopus","black-winged stilt",35.8,1.55388302664387
"109","America-Australia","Pedestrian","Charadriiformes","Recurvirostridae ","Himantopus himantopus","black-winged stilt",39.3,1.59439255037543
"110","America-Australia","Pedestrian","Charadriiformes","Recurvirostridae ","Himantopus himantopus ","black-winged stilt ",38.3,1.58319877396862
"111","America-Australia","Pedestrian","Charadriiformes","Recurvirostridae ","Recurvirostra novaehollandiae","red-necked avocet",73,1.86332286012046
"112","America-Australia","Motorized watercraft","Charadriiformes","Recurvirostridae ","Recurvirostra novaehollandiae","red-necked avocet",57,1.75587485567249
"113","America-Australia","Non-motorized watercraft","Charadriiformes","Recurvirostridae ","Recurvirostra novaehollandiae","red-necked avocet",43,1.63346845557959
"114","America-Australia","Pedestrian","Charadriiformes","Recurvirostridae ","Recurvirostra novaehollandiae","red-necked avocet",60.4,1.78103693862113
"115","America-Australia","Pedestrian","Charadriiformes","Scolopacidae","Calidris acuminata","sharp-tailed sandpiper",14.8,1.17026171539496
"116","America-Australia","Dog","Charadriiformes","Scolopacidae","Calidris acuminata","sharp-tailed sandpiper",39.3,1.59439255037543
"117","America-Australia","Motorized watercraft","Charadriiformes","Scolopacidae","Calidris acuminata","sharp-tailed sandpiper",35.7,1.55266821611219
"118","America-Australia","Non-motorized watercraft","Charadriiformes","Scolopacidae","Calidris acuminata","sharp-tailed sandpiper",28.1,1.44870631990508
"119","America-Australia","Pedestrian","Charadriiformes","Scolopacidae","Calidris acuminata","sharp-tailed sandpiper",33.2,1.52113808370404
"120","America-Australia","Motorized vehicle","Charadriiformes","Scolopacidae","Calidris acuminata ","sharp-tailed sandpiper  ",35.4,1.54900326202579
"121","America-Australia","Motorized watercraft","Charadriiformes","Scolopacidae","Calidris ferruginea","curlew sandpiper",29.8,1.47421626407626
