Name,Age,Nationality,Cause,Location,,Month,Day,Year
Mirosław Gardzielewski,35, Poland,Avalanche,7200m W ridge,,May,27,1989
Andrzej Heinrich,51, Poland,Avalanche,7200m W ridge,,May,27,1989
Wacław Otręba,50, Poland,Avalanche,7200m W ridge,,May,27,1989
Choi Byong-soo,, South Korea,Avalanche,North Col Flank,,September,8,1997
Rafael Gómez-Menor,, Spain,Avalanche,Unknown,,September,14,1990
Tony Swierzy,27, United Kingdom,Avalanche,6238m,,April,3,1984
Wang Hong-bao,, China,Avalanche,Below North Col,,October,12,1979
László Várkonyi,54, Hungary,Avalanche,North Col,,April,26,2010
Eugeniusz Chrobak,30, Poland,Avalanche,Lhola camp,,May,28,1989
Jangbu Sherpa,,   Nepal,Avalanche,Base Camp,,May,1,2015
Lance-Naik Shamsherpun,,   Nepal,Brain hemorrhage,Above Rongbuk B.C.,,May,17,1924
Gjeorgi Petkov,63, Macedonia,Heart attack,Above Camp III,,May,20,2018
Charles MacAdams,62, Canada,Heart attack,Base Camp North Side,,May,11,2016
Christopher Jon Kulish,62, United Kingdom,Heart attack,South Col,,May,27,2019
Hiroaki Kino,48, Japan,Cerebral apoplexy,Lower Icefall,,September,15,2011
Prem Thapa,,   Nepal,Cerebral oedema,,,April,6,1994
Mark Auricht,, Australia,Cerebral oedema,N.E. Ridge,,May,24,2001
Eberhard Schaaf,61, Germany,Cerebral oedema,Hillary Step,,May,19,2012
Scott Fischer,40, United Kingdom,Cerebral oedema,8300m S.E. Ridge,,May,11,1996
Tom Jørgensen,56, Denmark,Cerebral oedema,Unknown,,May,19,2010
Mingma Tenzing Sherpa,,   Nepal,Cerebral oedema,Everest Base Camp,,April,2,2014
Karl Henize,66, United Kingdom,Cerebral oedema,6400m,,October,5,1993
Ang Lhakpa,,   Nepal,Cerebral thrombosis,South Col,,December,23,1988
Ngawang Topche,,   Nepal,Comma,Camp II,,June,6,1996
Gyalu,,   Nepal,Fall,Icefall,,October,4,1986
Blair Griffiths,33, Canada,Fall,Icefall,,September,2,1982
Mario Piana,, Italy,Fall,Lhotse Face,,September,22,1980
Jake Breitenbach,27, United Kingdom,Fall,Icefall,,March,23,1963
Tony Tighe,, Australia,Fall,Icefall,,November,16,1972
Pasang Lhamu Sherpa,32,   Nepal,Dissappearance,8750m S.E. Ridge,,April,23,1993
Tenzing Nuru,,   Nepal,Dissappearance,S.E. Ridge,,September,8,1997
Peter Kowalzik,, Germany,Dissappearance,N.E. Ridge,,May,8,1997
Yasuo Kato,33, Japan,Dissappearance,Near Summit,,December,28,1982
Manabu Hoshi,, Japan,Dissappearance,8350m NE,,May,23,1992
Andrew Harris,31, New Zealand,Dissappearance,8700m S.E. Ridge,,May,11,1996
Ham Sang-hun,, South Korea,Dissappearance,Unknown,,October,7,1990
Mick Burke,34, United Kingdom,Dissappearance,Near Summit,,September,26,1975
Peter Boardman,31, United Kingdom,Dissappearance,North-East Ridge (approx. 8200m),,May,17,1982
Joe Tasker,33, United Kingdom,Dissappearance,North-East Ridge (approx. 8200m),,May,17,1982
Dušan Becík,34, Czechoslovakia,Dissappearance,8000m S.W. Ridge,,October,17,1988
Roger Marshall,45, Canada,Dissappearance,"Hornbein Couloir, Near Summit",,May,21,1987
Hristo Ivanov Prodanov,40,Bulgaria Bulgaria,Dissappearance,8500m West Ridge,,April,21,1984
Lam Babu Sherpa,45,   Nepal,Dissappearance,Above South Col,,May,14,2018
Yan Genghua,, China,Dissappearance,N.E. Ridge,,May,21,2000
Masao Yokoyama,44, Japan,Drowned,East Rongbuk Glacier,,September,2,1987
Uwe Gianni Goltz,44,  Switzerland,Exhaustion,8000m South Col,,May,21,2008
Shriya Shah-Klorfine,33, Canada,Exhaustion,Below Balcony 8300m,,May,19,2012
Jacques-Hugues Letrange,, France,Exhaustion,N.E. Ridge,,May,6,2006
Roger Buick,, New Zealand,Exhaustion,N.E. Ridge,,May,26,1998
Juan José Polo Carbayo,43, Spain,Exhaustion,8300m N.E. Ridge,,May,20,2012
Mark Jennings,, United Kingdom,Exhaustion,N.E. Ridge,,May,25,1998
Peter Kinloch,28, United Kingdom,Exhaustion,8600m,,May,26,2010
Dhruba Bista,,   Nepal,Exhaustion,Base Camp following evacuation from Camp III,,May,24,2019
Ralf D. Arnold,43, Germany,Exhaustion,8300m N.E. Ridge,,May,20,2012
Ivan Plotnikov,, Russia,Exhaustion,8700m N.E. Ridge,,May,7,1997
Nikolai Shevtchenko,, Russia,Exhaustion,8700m N.E. Ridge,,May,7,1997
Shih Fang-Fang 'Norman',27, Taiwan,Exhaustion,,,May,9,1994
Robin Haynes Fisher,44, United Kingdom,Exhaustion,100 metres below peak,,May,25,2019
Ernst Landgraf,65, Austria,Exhaustion,Tibet side at 8600m after summiting,,May,23,2019
Nihal Bagwan,27, India,Exhaustion,near South Col,,May,23,2019
Anjali S Kulkarni,54, India,Exhaustion,Near Camp IV,,May,23,2019
Kalpana Dash,52, India,Exhaustion,Near Balcony,,May,23,2019
Wu Zhuong Yue [note 4],, China,Exhaustion,8500m,,May,4,1975
Mike Rheinberger,53, Australia,Exposure,8500m NE,,May,27,1994
Hristo Ganchev Hristov,27, Bulgaria,Exposure,8600m N.E. Ridge,,May,20,2004
Mariana Prodanova Maslarova,43, Bulgaria,Exposure,8700m N.E. Ridge,,May,23,2004
Michel Parmentier,, France,Exposure,7700m,,September,20,1988
Rüdiger Lang,, Germany,Exposure,7850m N.E. Ridge,,May,3,1991
Dieter Kramer,, Germany,Exposure,8000m N.E.,,June,4,2005
Jai Bahugana,, India,Exposure,South Col,,October,11,1985
Ranjeet Singh Bakshi,, India,Exposure,South Col,,October,11,1985
Vijay Pal Singh Negi,28, India,Exposure,South Col,,October,11,1985
M.U. Bhaskar Rao,, India,Exposure,South Col,,October,11,1985
Deepak Kulkarni,, India,Exposure,Unknown,,May,2,1992
Raymond Jacob,, India,Exposure,Unknown,,May,2,1992
Dorje Morup,47, India,Exposure,8600m N.E. Ridge,,May,11,1996
Tsewang Paljor,28, India,Exposure,8600m N.E. Ridge,,May,11,1996
Tsewang Samanla,38, India,Exposure,8600m N.E. Ridge,,May,11,1996
Sirigereshiva Shankarappa Chaitanya,, India,Exposure,8700m N.E. Ridge,,May,30,2005
Paresh Chandra Nath,58, India,Exposure,The Balcony,,May,22,2016
Goutam Ghosh,50, India,Exposure,The Balcony,,May,22,2016
Yasuko Namba,47, Japan,Exposure,South Col,,May,11,1996
Shoko Ota,63, Japan,Exposure,8600m N.E. Ridge,,May,20,2004
Rob Hall,35, New Zealand,Exposure,South Summit,,May,11,1996
Joon-ho Baek,38, South Korea,Exposure,8500m N.E. Ridge,,May,18,2004
Min Jang,28, South Korea,Exposure,8500m N.E. Ridge,,May,18,2004
Mu-taek Park,36, South Korea,Exposure,8500m N.E. Ridge,,May,18,2004
Doug Hansen,46, United Kingdom,Exposure,South Summit,,May,11,1996
Nils Antezana,69, United Kingdom,Exposure,8600m S.E. Ridge,,May,18,2004
Francys Arsentiev,40,,Exposure,N.E. Ridge,,May,24,1998
Vitor Negrete,38, Brazil,Exposure,"Camp III, 8200m N.E. Ridge",,May,19,2006
David Sharp,34, United Kingdom,Exposure,8600m N.E. Ridge,,May,15,2006
Ray Genet,48, United Kingdom,Exposure,8400m S.E. Ridge,,October,2,1979
Hannelore Schmatz,39,,Exposure,8400m S.E. Ridge,,October,2,1979
Robert William Milne,49, United Kingdom,Exposure,8200m S.E. Ridge,,June,5,2005
Maurice Wilson,36, United Kingdom,Exposure,East Rongbuk Glacier,,May,31,1934
Aleksei Nikiforov,, Russia,Exposure,8500m N.E. Ridge,,May,24,2001
Frank Ziebarth,29, Canada,Exposure,8700m North Summit,,May,21,2009
Nobukazu Kuriki,36, Japan,Exposure,Camp II,,May,21,2018
Sergei Arsentiev,, United Kingdom,Fall,N.E. Ridge,,May,24,1998
Kyak Tsering,36,   Nepal,Fall,5525 m,,April,9,1970
Chris Daly,35, United Kingdom,Fall,Base Camp,,April,20,2019
Shahid Abdul Khader,21, India,Fall,North Col,,July,24,1998
Ang Phu,,   Nepal,Fall,Icefall,,May,16,1979
Nawang Kersang,,   Nepal,Fall,Icefall,,September,6,1980
Nima Dorje,,   Nepal,Fall,8300m W ridge,,October,14,1982
Pasang Temba,,   Nepal,Fall,8600m SE Ridge,,October,8,1983
Ang Dorje,35,   Nepal,Fall,8400m S.E. Ridge,,October,24,1984
Yogendra Bahadur Thapa,36,   Nepal,Fall,8400m S.E. Ridge,,October,24,1984
Tsuttin Dorje,,   Nepal,Fall,7700m,,January,30,1987
Lhakpa Sonam,,   Nepal,Fall,8200m,,October,13,1988
Pasang Temba,,   Nepal,Fall,8200m,,October,13,1988
Phu Dorje,,   Nepal,Fall,Descending South Col Route,,May,16,1989
Ang Tshering,,   Nepal,Fall,Unknown,,January,15,1993
Lobsang Tshering Bhutia,41,   Nepal,Fall,8750m S.E. Ridge,,May,10,1993
Kami Rita,,   Nepal,Fall,Unknown,,May,6,1995
Zangbu,,   Nepal,Fall,Near Summit,,October,14,1995
Mingma,,   Nepal,Fall,N.E. Ridge,,May,7,1997
Babu Chiri Sherpa,35,   Nepal,Fall,N.E. Ridge,,April,29,2001
Lobsang Sherpa,22,   Nepal,Fall,Between Camp II and Camp III on descent from Camp IV (on south side),,May,7,2013
Phurba Sherpa,25,   Nepal,Fall,Near summit,,May,19,2016
Craig Nottle,23, Australia,Fall,8000m,,October,9,1984
Peter Ganner,, Austria,Fall,8500m S.E. Ridge,,May,23,2001
Pascal Debrouwer,29, Belgium,Fall,N.E. Ridge,,May,18,1999
Ma Gao-shu,, China,Fall,Icefall,,May,1,1966
Jozef Psotka,50, Czechoslovakia,Fall,Near Summit,,October,16,1984
Jeppe Stoltz,27, Denmark,Fall,N.E. Ridge,,May,20,2000
Sándor Gárdos,, Hungary,Fall,7800m N.E. Ridge,,October,17,2001
Kiran Inder Kumar,40, India,Fall,7986m,,October,7,1985
Sher Singh,, India,Fall,Icefall,,May,23,1992
Srikrishna,, India,Fall,8600m N.E. Ridge,,May,14,2006
Giuseppe Vigani,43, Italy,Fall,North Face,,May,18,1994
Noboru Takenaka,28, Japan,Fall,6900m W. Cwm,,January,12,1981
Hironobu Kamuro,, Japan,Fall,Near Summit,,October,8,1983
Hiroshi Yoshino,, Japan,Fall,Near Summit,,October,9,1983
Junichi Futagami,, Japan,Fall,8700m NE,,May,27,1991
Tadeusz Kudelski,44, Poland,Fall,N.E. Ridge,,May,18,1999
Jan Krzysztof Liszewski,55, Poland,Fall,7900m N.E. Ridge,,May,25,2003
Aleksandr Torochin,, Russia,Fall,8400m N.E. Ridge,,May,7,1997
Alexey Bolotov,50, Russia,Fall,5600m Icefall,,May,15,2013
Nam Won-woo,, South Korea,Fall,8450m S.E. Ridge,,May,16,1993
A Jin-seob,, South Korea,Fall,8450m S.E. Ridge,,May,17,1993
Song Won-bin,44, South Korea,Fall,Balcony,,May,19,2012
Juanjo Navarro,, Spain,Fall,7300m,,May,12,1985
Antonio Miranda,, Spain,Fall,,,October,7,1993
Tomas Olsson,30, Sweden,Fall,8700m Norton Couloir,,May,16,2006
Nima Rinzi,, United Kingdom,Fall,Lhotse Face,,May,6,1997
Marty Hoey,30, United Kingdom,Fall,8000m,,May,15,1982
Dimitar Ilievski-Murato,35,Yugoslavia,Fall,Descending South Col Route,,May,10,1989
Ravi Kumar,27, India,Fall,Balcony,,May,21,2017
Phu Dorjee Sherpa,,   Nepal,Fall,Icefall,,October,18,1969
Dawa Nuru,,   Nepal,Fall,Icefall,,April,18,1978
Bhim Bahadur Gurung,,   Nepal,Fall,5900m Icefall,,May,27,2003
Namgyal Tshering Sherpa,28,   Nepal,Fall,Camp I,,April,21,2012
