Continent,Disturbance,Order,Family,Scientific.name,Common.name,FID,log.fid
America-Australia,Pedestrian,Charadriiformes,Charadriidae ,Erythrogonys cinctus,red-kneed dotterel,21.2,1.326335861
America-Australia,Pedestrian,Cuculiformes,Cuculidae ,Eudynamys scolopaceus,Asian koel,4.6,0.662757832
America-Australia,Pedestrian,Caprimulgiformes,Caprimulgidae,Eurostopodus argus,spotted nightjar,10.8,1.033423755
America-Australia,Pedestrian,Coraciiformes,Coraciidae ,Eurystomus orientalis ,dollarbird ,25.9,1.413299764
America-Australia,Pedestrian,Falconiformes,Falconidae,Falco berigora,brown falcon,34.1,1.532754379
America-Australia,Pedestrian,Falconiformes,Falconidae,Falco cenchroides,Nankeen kestrel,43.4,1.63748973
America-Australia,Pedestrian,Falconiformes,Falconidae,Falco columbarius,merlin,76,1.880813592
America-Australia,Pedestrian,Falconiformes,Falconidae,Falco mexicanus,prairie falcon,92,1.963787827
America-Australia,Pedestrian,Falconiformes,Falconidae,Falco sparverius,American kestrel,44,1.643452676
America-Australia,Pedestrian,Passeriformes,Pachycephalidae,Falcunculus frontatus,crested shrike-tit,8.5,0.929418926
America-Australia,Pedestrian,Gruiformes,Rallidae,Fulica atra,Eurasian coot,72.8,1.862131379
America-Australia,Pedestrian,Charadriiformes,Scolopacidae ,Gallinago hardwickii,Latham’s snipe,62.62,1.796713063
America-Australia,Pedestrian,Gruiformes,Rallidae ,Gallinula tenebrosa ,dusky moorhen ,14.8,1.170261715
America-Australia,Pedestrian,Gruiformes,Rallidae,Gallinula ventralis,black-tailed native hen ,36.8,1.565847819
America-Australia,Pedestrian,Gruiformes,Rallidae ,Gallirallus philippensis,buff-banded rail,8,0.903089987
America-Australia,Pedestrian,Columbiformes,Columbidae ,Geopelia humeralis ,bar-shouldered dove ,22.1,1.344392274
America-Australia,Pedestrian,Columbiformes,Columbidae ,Geopelia striata,zebra dove,12.1,1.08278537
America-Australia,Pedestrian,Passeriformes,Pardalotidae,Gerygone albogularis,white-throated gerygone,5.1,0.707570176
America-Australia,Pedestrian,Passeriformes,Pardalotidae,Gerygone fusca,western gerygone,5.4,0.73239376
America-Australia,Pedestrian,Passeriformes,Pardalotidae ,Gerygone mouki,brown gerygone ,4.2,0.62324929
America-Australia,Pedestrian,Passeriformes,Monarchidae ,Grallina cyanoleuca,Magpie-lark,35,1.544068044
America-Australia,Pedestrian,Charadriiformes,Haematopodidae,Haematopus fuliginosus,sooty oystercatcher,64.28,1.808075868
America-Australia,Pedestrian,Charadriiformes,Haematopodidae,Haematopus longirostris,pied oystercatcher ,41.52,1.618257345
America-Australia,Pedestrian,Falconiformes,Accipitridae,Haliastur sphenurus,whistling kite,28.2,1.450249108
America-Australia,Pedestrian,Passeriformes,Petroicidae,Heteromyias albispecularis,grey-headed robin,9.2,0.963787827
America-Australia,Pedestrian,Charadriiformes,Recurvirostridae ,Himantopus himantopus,black-winged stilt ,38,1.579783597
America-Australia,Pedestrian,Charadriiformes,Recurvirostridae ,Himantopus mexicanus,black-necked stilt,17,1.230448921
America-Australia,Pedestrian,Passeriformes,Hirundinidae,Hirundo neoxena,welcome swallow,10.9,1.037426498
America-Australia,Pedestrian,Passeriformes,Pardalotidae,Hylacola pyrrhopygia,chestnut-rumped heathwren,11.4,1.056904851
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Ixobrychus dubius,Australian little bittern,12.9,1.11058971
America-Australia,Pedestrian,Passeriformes,Emberizidae ,Junco hyemalis ,dark-eyed junco ,8.9,0.949390007
America-Australia,Pedestrian,Passeriformes,Campephagidae,Lalage leucomela,varied triller,38.7,1.587710965
America-Australia,Pedestrian,Charadriiformes,Laridae,Larus delawarensis,ring-billed gull ,8,0.903089987
America-Australia,Pedestrian,Charadriiformes,Laridae,Larus dominicanus ,kelp gull ,24.4,1.387389826
America-Australia,Pedestrian,Charadriiformes,Laridae,Larus novaehollandiae,silver gull,17.19,1.235275877
America-Australia,Pedestrian,Charadriiformes,Laridae,Larus occidentalis ,western gull,17.4,1.240549248
America-Australia,Pedestrian,Columbiformes,Columbidae ,Leucosarcia melanoleuca,Wonga pigeon ,18.5,1.267171728
America-Australia,Pedestrian,Gruiformes,Rallidae,Lewinia pectoralis,Lewin's rail,4.3,0.633468456
