nombre,peso,altura
Andre Turner,72.5747792,180.34
Andre Wakefield,79.37866475,190.5
Andrea Bargnani,102.0582833,213.36
Andreas Glyniadakis,127.0058636,215.9
Andrei Kirilenko,99.7903214,205.74
Andres Guibert,102.0582833,208.28
Andres Nocioni,102.0582833,200.66
Andrew Bogut,111.1301307,213.36
Andrew Bynum,129.2738255,213.36
Andrew DeClercq,104.3262451,208.28
Andrew Gaze,92.98643585,200.66
Andrew Goudelock,90.718474,190.5
Andrew Lang,111.1301307,210.82
Andrew Nicholson,113.3980925,205.74
Andrew Toney,80.73944186,190.5
Andris Biedrins,108.8621688,210.82
Andy Johnson,97.52235955,195.58
Andy Panko,100.6975061,205.74
Andy Phillip,88.45051215,187.96
Andy Rautins,86.1825503,193.04
Andy Toolson,95.2543977,198.12
Andy Walker,86.1825503,193.04
Anfernee Hardaway,88.45051215,200.66
Ansu Sesay,102.0582833,205.74
Antawn Jamison,101.1510985,203.2
Anthony Avent,106.594207,205.74
Anthony Bennett,108.8621688,203.2
Anthony Bonner,97.52235955,203.2
Anthony Bowie,86.1825503,198.12
Anthony Carter,86.1825503,185.42
Anthony Cook,92.98643585,205.74
Anthony Davis,99.7903214,208.28
Anthony Frederick,92.98643585,200.66
Anthony Goldwire,82.55381134,185.42
Anthony Grundy,81.6466266,190.5
Anthony Johnson,86.1825503,190.5
Anthony Jones,88.45051215,198.12
Anthony Mason,113.3980925,200.66
Anthony Miller,102.0582833,205.74
Anthony Morrow,95.2543977,195.58
Anthony Parker,97.52235955,198.12
Anthony Peeler,94.34721296,193.04
Anthony Pullard,111.1301307,208.28
Anthony Randolph,92.98643585,208.28
Anthony Roberson,81.6466266,187.96
Anthony Roberts,83.91458845,195.58
Anthony Taylor,79.37866475,193.04
Anthony Tolliver,108.8621688,203.2
Anthony Tucker,99.7903214,203.2
Antoine Carr,102.0582833,205.74
Antoine Rigaudeau,95.2543977,200.66
Antoine Walker,101.6046909,203.2
Antoine Wright,95.2543977,200.66
Antonio Anderson,97.52235955,198.12
Antonio Burks,90.718474,185.42
Antonio Daniels,88.45051215,193.04
Antonio Davis,97.52235955,205.74
Antonio Harvey,102.0582833,210.82
Antonio Lang,92.98643585,203.2
Antonio McDyess,99.7903214,205.74
Antonis Fotsis,99.33672903,208.28
Archie Clark,79.37866475,187.96
Archie Dees,92.98643585,203.2
Archie Goodwin,89.81128926,195.58
Arinze Onuaku,124.7379018,205.74
Armen Gilliam,104.3262451,205.74
Armon Johnson,88.45051215,190.5
Armond Hill,86.1825503,193.04
Arnett Moultrie,112.9445001,210.82
Arnie Risen,90.718474,205.74
Aron Baynes,117.9340162,208.28
Arron Afflalo,97.52235955,195.58
Art Collins,83.91458845,193.04
Art Harris,83.91458845,193.04
Art Heyman,92.98643585,195.58
Art Long,113.3980925,205.74
Art Spoelstra,99.7903214,205.74
Art Williams,81.6466266,185.42
Artis Gilmore,108.8621688,218.44
Arvid Kramer,99.7903214,205.74
Arvydas Macijauskas,97.06876718,193.04
Arvydas Sabonis,126.5522712,220.98
Ashraf Amaya,104.3262451,203.2
Askia Jones,90.718474,195.58
Audie Norris,104.3262451,205.74
Austin Carr,90.718474,193.04
Austin Croshere,106.594207,205.74
Austin Daye,90.718474,210.82
Austin Rivers,90.718474,193.04
Avery Bradley,81.6466266,187.96
Avery Johnson,79.37866475,177.8
Awvee Storey,100.6975061,198.12
B.J. Armstrong,79.37866475,187.96
B.J. Tyler,83.91458845,185.42
Bailey Howell,95.2543977,200.66
Barney Cable,79.37866475,200.66
Baron Davis,94.80080533,190.5
Barry Clemens,95.2543977,198.12
Barry Kramer,90.718474,193.04
Barry Nelson,104.3262451,208.28
Barry Orms,86.1825503,190.5
Barry Stevens,88.45051215,195.58
Barry Sumpter,97.52235955,210.82
Barry Yates,97.52235955,200.66
Bart Kofoed,95.2543977,193.04
Bayard Forrest,106.594207,208.28
Ben Clyde,89.81128926,200.66
Ben Coleman,106.594207,205.74
Ben Davis,108.8621688,205.74
Ben Gillery,106.594207,213.36
Ben Gordon,90.718474,190.5
Ben Handlogten,108.8621688,208.28
Ben Hansbrough,92.07925111,190.5
Ben Kelso,88.45051215,190.5
Ben McDonald,95.2543977,203.2
Ben McLemore,88.45051215,195.58
Ben Poquette,106.594207,205.74
Ben Uzoh,92.98643585,190.5
Ben Wallace,108.8621688,205.74
Ben Warley,90.718474,195.58
Bennie Swain,99.7903214,203.2
Beno Udrih,92.98643585,190.5
Benoit Benjamin,113.3980925,213.36
Bernard James,108.8621688,208.28
Bernard King,92.98643585,200.66
Bernard Robinson,95.2543977,198.12
Bernard Thompson,95.2543977,198.12
Bernard Toone,95.2543977,205.74
Bernie Fryer,83.91458845,190.5
Bernie Harris,90.718474,208.28
Bernie Williams,79.37866475,190.5
Bert Cook,83.91458845,190.5
Bevo Nordmann,102.0582833,208.28
Bill Bradley,92.98643585,195.58
Bill Bridges,103.4190604,198.12
Bill Buntin,113.3980925,200.66
Bill Calhoun,81.6466266,190.5
Bill Cartwright,111.1301307,215.9
Bill Chamberlain,85.27536556,198.12
Bill Curley,99.7903214,205.74
Bill Dinwiddie,99.7903214,200.66
Bill Ebben,86.1825503,193.04
Bill Edwards,97.52235955,203.2
Bill Gabor,77.1107029,180.34
Bill Garnett,102.0582833,205.74
Bill Hanzlik,83.91458845,200.66
Bill Hewitt,95.2543977,200.66
Bill Hosket,102.0582833,203.2
Bill Jones,79.37866475,200.66
Bill Laimbeer,111.1301307,210.82
Bill Ligon,81.6466266,193.04
Bill Martin,92.98643585,200.66
Bill Mayfield,92.98643585,200.66
Bill McGill,102.0582833,205.74
Bill Melchionni,74.84274105,185.42
Bill Robinzine,104.3262451,200.66
Bill Russell,97.52235955,208.28
Bill Sharman,79.37866475,185.42
Bill Smith,86.1825503,195.58
Bill Stricker,95.2543977,205.74
Bill Thieben,97.52235955,200.66
Bill Turner,99.7903214,200.66
Bill Walker,99.7903214,198.12
Bill Walton,95.2543977,210.82
Bill Wennington,111.1301307,213.36
Bill Willoughby,92.98643585,203.2
Bill Zopf,77.1107029,185.42
Billy Cunningham,95.2543977,198.12
Billy Donovan,77.56429527,180.34
Billy Kenville,84.82177319,187.96
Billy Knight,88.45051215,198.12
Billy McKinney,72.5747792,182.88
Billy Owens,99.7903214,203.2
Billy Paultz,106.594207,210.82
Billy Ray Bates,95.2543977,193.04
Billy Reid,86.1825503,195.58
Billy Thomas,94.34721296,193.04
Billy Thompson,88.45051215,200.66
Bimbo Coles,81.6466266,185.42
Bingo Smith,88.45051215,195.58
Bird Averitt,77.1107029,185.42
Bismack Biyombo,103.8726527,205.74
Bison Dele,106.594207,205.74
Blair Rasmussen,113.3980925,213.36
Blake Ahearn,86.1825503,187.96
Blake Griffin,113.8516849,208.28
Blue Edwards,90.718474,193.04
Bo Ellis,89.35769689,205.74
Bo Erias,99.7903214,190.5
Bo Kimble,86.1825503,193.04
Bo Lamar,81.6466266,185.42
Bo Outlaw,95.2543977,203.2
Bob Allen,92.98643585,205.74
Bob Anderegg,90.718474,190.5
Bob Armstrong,99.7903214,203.2
Bob Arnzen,92.98643585,195.58
Bob Bigelow,97.52235955,200.66
Bob Boozer,97.52235955,203.2
Bob Brannum,97.52235955,195.58
Bob Burrow,103.4190604,200.66
Bob Carney,77.1107029,190.5
Bob Carrington,88.45051215,198.12
Bob Christian,115.6660544,208.28
Bob Cousy,79.37866475,185.42
Bob Dandridge,88.45051215,198.12
Bob Davies,79.37866475,185.42
Bob Davis,97.52235955,200.66
Bob Duffy,83.91458845,190.5
Bob Elliott,102.0582833,205.74
Bob Ferry,104.3262451,203.2
Bob Greacen,93.44002822,200.66
Bob Gross,90.718474,198.12
Bob Hansen,86.1825503,198.12
Bob Harrison,86.1825503,185.42
Bob Hogsett,104.3262451,200.66
Bob Hopkins,92.98643585,203.2
Bob Houbregs,95.2543977,200.66
Bob Kauffman,108.8621688,203.2
Bob Knight,83.91458845,187.96
Bob Lanier,113.3980925,210.82
Bob Love,97.52235955,203.2
Bob Martin,113.3980925,213.36
Bob McAdoo,95.2543977,205.74
Bob McCann,110.6765383,198.12
Bob McNeill,77.1107029,185.42
Bob Miller,104.3262451,208.28
Bob Nash,88.45051215,203.2
Bob Peterson,95.2543977,195.58
Bob Pettit,92.98643585,205.74
Bob Portman,90.718474,195.58
Bob Quick,97.52235955,195.58
Bob Riley,106.594207,205.74
Bob Rule,99.7903214,205.74
Bob Santini,86.1825503,195.58
Bob Schafer,88.45051215,190.5
Bob Sims,99.7903214,195.58
Bob Sura,90.718474,195.58
Bob Thornton,102.0582833,208.28
Bob Verga,86.1825503,185.42
Bob Warlick,90.718474,195.58
Bob Weiss,81.6466266,187.96
Bob Wiesenhahn,97.52235955,193.04
Bob Wilkerson,88.45051215,198.12
Bob Williams,104.3262451,198.12
Bobby Brown,79.37866475,187.96
Bobby Cattage,113.3980925,205.74
Bobby Hurley,74.84274105,182.88
Bobby Jackson,83.91458845,185.42
Bobby Jones,97.52235955,200.66
Bobby Jones,95.2543977,205.74
Bobby Lewis,79.37866475,190.5
Bobby Phills,95.2543977,195.58
Bobby Simmons,95.2543977,200.66
Bobby Smith,86.1825503,193.04
Bobby Wanzer,77.1107029,182.88
Bobby Washington,79.37866475,180.34
Bobby Watson,72.5747792,182.88
Bobby Wilson,79.37866475,190.5
Boniface N'Dong,89.81128926,213.36
Bonzi Wells,95.2543977,195.58
Boo Ellis,83.91458845,195.58
Boris Diaw,97.52235955,203.2
Boris Nachamkin,95.2543977,198.12
Bostjan Nachbar,100.2439138,205.74
Bracey Wright,95.2543977,190.5
Brad Branson,99.7903214,208.28
Brad Daugherty,111.1301307,213.36
Brad Davis,81.6466266,190.5
Brad Holland,81.6466266,190.5
Brad Lohaus,104.3262451,210.82
Brad Miller,110.6765383,210.82
Brad Sellers,95.2543977,213.36
Brad Wright,102.0582833,210.82
Bradley Beal,93.89362059,190.5
Brandan Wright,92.98643585,205.74
Brandin Knight,81.6466266,182.88
Brandon Armstrong,85.27536556,195.58
Brandon Bass,108.8621688,203.2
Brandon Davies,108.8621688,208.28
Brandon Hunter,117.9340162,200.66
Brandon Jennings,76.65711053,185.42
Brandon Knight,85.72895793,190.5
Brandon Roy,97.52235955,198.12
Brandon Rush,95.2543977,198.12
Brandon Williams,97.52235955,198.12
Brant Weidner,104.3262451,205.74
Brendan Haywood,121.5627552,213.36
Brendan McCann,80.73944186,187.96
Brent Barry,83.91458845,198.12
Brent Price,74.84274105,185.42
Brent Scott,113.3980925,208.28
Brett Szabo,104.3262451,210.82
Brett Vroman,99.7903214,213.36
Brevin Knight,78.47148001,177.8
Brian Cardinal,111.1301307,203.2
Brian Cook,106.1406146,205.74
Brian Davis,90.718474,200.66
Brian Evans,99.7903214,203.2
Brian Grant,115.212462,205.74
Brian Heaney,81.6466266,187.96
Brian Howard,92.53284348,198.12
Brian Martin,96.16158244,205.74
Brian Oliver,95.2543977,193.04
Brian Quinnett,106.594207,203.2
Brian Roberts,81.6466266,185.42
Brian Rowsom,99.7903214,205.74
Brian Scalabrine,109.3157612,205.74
Brian Shaw,86.1825503,198.12
Brian Skinner,115.6660544,205.74
Brian Taylor,83.91458845,187.96
Brian Winters,83.91458845,193.04
Britton Johnsen,95.2543977,208.28
Brook Lopez,117.9340162,213.36
Brook Steppe,88.45051215,195.58
Brooks Thompson,87.54332741,193.04
Bruce Bowen,83.91458845,200.66
Bruce Douglas,88.45051215,190.5
Bruce Flowers,102.0582833,203.2
Bruce Kuczenski,104.3262451,208.28
Bruce Seals,95.2543977,203.2
Bruno Sundov,99.7903214,218.44
Bryan Warrick,88.45051215,195.58
Bryant Reeves,124.7379018,213.36
Bryant Stith,94.34721296,195.58
Bryce Drew,83.91458845,187.96
Bryon Russell,102.0582833,200.66
Bubba Wells,104.3262451,195.58
Bubba Wilson,79.37866475,190.5
Buck Johnson,86.1825503,200.66
Buck Williams,97.52235955,203.2
Bucky Bockhorn,90.718474,193.04
Bud Acton,95.2543977,198.12
Bud Koper,95.2543977,198.12
Bud Ogden,97.52235955,198.12
Bud Olsen,99.7903214,203.2
Bud Stallworth,86.1825503,195.58
Butch Beard,83.91458845,190.5
Butch Carter,81.6466266,195.58
Butch Feher,83.91458845,193.04
Butch Lee,83.91458845,182.88
Byron Beck,102.0582833,205.74
Byron Dinkins,77.1107029,185.42
Byron Houston,113.3980925,195.58
Byron Irvin,86.1825503,195.58
Byron Mullens,124.7379018,213.36
Byron Scott,88.45051215,190.5
C.J. Kupec,99.7903214,198.12
C.J. McCollum,90.718474,193.04
C.J. Miles,95.2543977,198.12
C.J. Watson,81.6466266,187.96
Cal Bowdler,111.1301307,208.28
Cal Christensen,95.2543977,195.58
Cal Ramsey,90.718474,193.04
Calbert Cheaney,94.80080533,200.66
Caldwell Jones,98.42954429,210.82
Calvin Booth,104.3262451,210.82
Calvin Garrett,86.1825503,200.66
Calvin Murphy,74.84274105,175.26
Calvin Natt,99.7903214,198.12
Campy Russell,97.52235955,203.2
Carey Scurry,85.27536556,200.66
Carl Bailey,95.2543977,213.36
Carl Braun,81.6466266,195.58
Carl Henry,92.98643585,198.12
Carl Herrera,97.52235955,205.74
Carl Kilpatrick,104.3262451,208.28
Carl Landry,112.4909078,205.74
Carl McNulty,83.91458845,190.5
Carl Nicks,79.37866475,185.42
Carl Thomas,79.37866475,193.04
Carldell Johnson,81.6466266,177.8
Carlos Arroyo,91.62565874,187.96
Carlos Boozer,117.0268315,205.74
Carlos Clark,95.2543977,193.04
Carlos Delfino,104.3262451,198.12
Carlos Rogers,99.7903214,210.82
Carlos Terry,95.2543977,195.58
Carlton McKinney,86.1825503,193.04
Carmelo Anthony,104.3262451,203.2
Caron Butler,98.42954429,200.66
Carrick Felix,91.17206637,198.12
Cartier Martin,99.7903214,200.66
Casey Jacobsen,97.52235955,198.12
Casey Shaw,117.9340162,210.82
Casper Ware,79.37866475,177.8
Cazzie Russell,98.88313666,195.58
Cedric Ball,95.2543977,203.2
Cedric Bozeman,93.89362059,198.12
Cedric Ceballos,86.1825503,198.12
Cedric Henderson,97.52235955,200.66
Cedric Henderson,95.2543977,203.2
Cedric Jackson,86.63614267,190.5
Cedric Lewis,106.594207,208.28
Cedric Maxwell,92.98643585,203.2
Cedric Simmons,106.594207,205.74
Cedrick Hordges,99.7903214,203.2
Cezary Trybanski,108.8621688,218.44
Chad Gallagher,115.6660544,208.28
Chad Kinch,86.1825503,193.04
Chandler Parsons,90.718474,205.74
Channing Frye,112.4909078,210.82
Charles Barkley,114.3052772,198.12
Charles Bradley,97.52235955,195.58
Charles Claxton,120.2019781,213.36
Charles Davis,97.52235955,200.66
Charles Dudley,81.6466266,187.96
Charles Jenkins,99.7903214,190.5
Charles Johnson,77.1107029,182.88
Charles Jones,81.6466266,190.5
Charles Jones,97.52235955,203.2
Charles Jones,97.52235955,205.74
Charles O'Bannon,94.80080533,195.58
Charles Oakley,102.0582833,203.2
Charles Pittman,99.7903214,203.2
Charles Shackleford,102.0582833,208.28
Charles Smith,72.5747792,185.42
Charles Smith,87.99691978,193.04
Charles Smith,104.3262451,208.28
Charlie Bell,90.718474,190.5
Charlie Criss,74.84274105,172.72
Charlie Davis,72.5747792,187.96
Charlie Hardnett,102.0582833,203.2
Charlie Lowery,83.91458845,190.5
Charlie Paulk,99.33672903,203.2
Charlie Scott,79.37866475,195.58
Charlie Tyra,104.3262451,203.2
Charlie Villanueva,108.8621688,210.82
Charlie Ward,86.1825503,187.96
Charlie Yelverton,86.1825503,187.96
Chase Budinger,98.88313666,200.66
Chauncey Billups,91.62565874,190.5
Cheese Johnson,88.45051215,198.12
Cheikh Samb,111.1301307,215.9
Cherokee Parks,106.594207,210.82
Chet Walker,96.16158244,198.12
Chico Vaughn,86.1825503,187.96
Chris Andersen,104.3262451,208.28
Chris Anstey,112.9445001,213.36
Chris Babb,102.0582833,195.58
Chris Bosh,103.4190604,208.28
Chris Carr,93.89362059,195.58
Chris Childs,88.45051215,190.5
Chris Copeland,106.594207,205.74
Chris Corchiani,83.91458845,182.88
Chris Crawford,106.594207,205.74
Chris Douglas-Roberts,90.718474,200.66
Chris Dudley,106.594207,210.82
Chris Duhon,83.91458845,185.42
Chris Engler,111.1301307,210.82
Chris Ford,86.1825503,195.58
Chris Garner,70.76040972,177.8
Chris Gatling,99.7903214,208.28
Chris Harris,86.1825503,190.5
Chris Herren,89.35769689,187.96
Chris Hunter,108.8621688,210.82
Chris Jefferies,102.0582833,203.2
Chris Jent,99.7903214,200.66
Chris Johnson,91.17206637,198.12
Chris Johnson,95.2543977,210.82
Chris Kaman,121.5627552,213.36
Chris King,97.52235955,203.2
Chris McCray,87.08973504,195.58
Chris McNealy,95.2543977,200.66
Chris Mihm,120.2019781,213.36
Chris Mills,97.52235955,198.12
Chris Morris,95.2543977,203.2
Chris Mullin,90.718474,198.12
Chris Munk,102.0582833,205.74
Chris Owens,111.1301307,200.66
Chris Paul,79.37866475,182.88
Chris Porter,98.88313666,200.66
Chris Quinn,83.91458845,187.96
Chris Richard,122.4699399,205.74
Chris Robinson,90.718474,195.58
Chris Singleton,104.3262451,203.2
Chris Smith,90.718474,187.96
Chris Smith,86.1825503,190.5
Chris Taft,117.9340162,208.28
Chris Washburn,102.0582833,210.82
Chris Webber,111.1301307,205.74
Chris Welp,111.1301307,213.36
Chris Whitney,76.20351816,182.88
Chris Wilcox,100.2439138,208.28
Chris Wright,95.2543977,185.42
Chris Wright,102.5118756,203.2
Christian Eyenga,95.2543977,195.58
Christian Laettner,106.594207,210.82
Chubby Cox,81.6466266,187.96
Chuck Cooper,95.2543977,195.58
Chuck Grigsby,86.1825503,195.58
Chuck Hayes,108.8621688,198.12
Chuck Mencel,76.20351816,182.88
Chuck Nevitt,98.42954429,226.06
Chuck Noble,86.1825503,193.04
Chuck Osborne,95.2543977,198.12
Chuck Person,99.7903214,203.2
Chuck Share,106.594207,210.82
Chuck Terry,97.52235955,198.12
Chuck Williams,79.37866475,187.96
Chuckie Williams,81.6466266,190.5
Chucky Atkins,72.5747792,180.34
Chucky Brown,97.06876718,200.66
Clarence Glover,95.2543977,203.2
Clarence Kea,98.88313666,198.12
Clarence Weatherspoon,108.8621688,198.12
Clark Kellogg,102.0582833,200.66
Claude English,83.91458845,193.04
Claude Gregory,92.98643585,203.2
Claude Terry,88.45051215,193.04
Clay Johnson,79.37866475,193.04
Clem Haskins,88.45051215,190.5
Clemon Johnson,108.8621688,208.28
Cleo Hill,83.91458845,185.42
Cleveland Buckner,95.2543977,205.74
Cliff Anderson,90.718474,187.96
Cliff Hagan,95.2543977,193.04
Cliff Levingston,95.2543977,203.2
Cliff Meely,97.52235955,203.2
Cliff Pondexter,105.6870222,205.74
Cliff Robinson,99.7903214,205.74
Cliff Williams,81.6466266,190.5
Clifford Lett,77.1107029,190.5
Clifford Ray,104.3262451,205.74
Clifford Robinson,102.0582833,208.28
Clifford Rozier,111.1301307,210.82
Clint McDaniel,81.6466266,193.04
Clint Richardson,88.45051215,190.5
Clinton Smith,95.2543977,198.12
Clinton Wheeler,83.91458845,185.42
Clyde Drexler,95.2543977,200.66
Clyde Lee,92.98643585,208.28
Clyde Lovellette,106.1406146,205.74
Clyde Mayes,102.0582833,203.2
Coby Dietrick,99.7903214,208.28
Coby Karl,97.52235955,195.58
Cody Zeller,108.8621688,213.36
Cole Aldrich,111.1301307,210.82
Conner Henry,88.45051215,200.66
Connie Dierking,100.6975061,205.74
Connie Hawkins,95.2543977,203.2
Connie Norman,79.37866475,190.5
Connie Simmons,100.6975061,203.2
Corey Beck,86.1825503,185.42
Corey Benjamin,90.718474,198.12
Corey Brewer,83.91458845,205.74
Corey Crowder,97.06876718,195.58
Corey Gaines,88.45051215,190.5
Corey Maggette,98.88313666,198.12
Corey Williams,86.1825503,187.96
Corie Blount,108.8621688,205.74
Corky Calhoun,95.2543977,200.66
Corky Devlin,88.45051215,195.58
Corliss Williamson,111.1301307,200.66
Cornelius Cash,97.52235955,203.2
Cornell Warner,99.7903214,205.74
Corny Thompson,102.0582833,203.2
Corsley Edwards,124.7379018,205.74
Cory Alexander,83.91458845,185.42
Cory Carr,95.2543977,190.5
Cory Higgins,81.6466266,195.58
Cory Joseph,83.91458845,190.5
Cotton Nash,97.52235955,195.58
Courtney Alexander,92.98643585,195.58
Courtney Fortson,83.91458845,180.34
Courtney Lee,90.718474,195.58
Courtney Sims,111.1301307,208.28
Cozell McQueen,106.594207,210.82
Craig Brackins,104.3262451,208.28
Craig Dykema,86.1825503,203.2
Craig Ehlo,81.6466266,198.12
Craig Hodges,86.1825503,187.96
Craig Neal,74.84274105,195.58
Craig Raymond,106.594207,210.82
Craig Shelton,95.2543977,200.66
Craig Smith,113.3980925,200.66
Craig Spitzer,102.0582833,213.36
Cuonzo Martin,96.61517481,195.58
Curtis Borchardt,108.8621688,213.36
Curtis Kitchen,106.594207,205.74
Curtis Perry,99.7903214,200.66
Curtis Rowe,102.0582833,200.66
Cuttino Mobley,86.1825503,193.04
D.J. Augustin,81.6466266,182.88
D.J. Kennedy,97.52235955,198.12
D.J. Stephens,85.27536556,195.58
D.J. Strawberry,91.17206637,195.58
D.J. White,113.8516849,205.74
DaJuan Summers,108.8621688,203.2
Daequan Cook,92.98643585,195.58
Dahntay Jones,95.2543977,198.12
Dajuan Wagner,90.718474,187.96
Dale Davis,104.3262451,210.82
Dale Ellis,92.98643585,200.66
Dale Schlueter,102.0582833,208.28
Dalibor Bagaric,115.6660544,215.9
Dallas Comegys,92.98643585,205.74
Damian Lillard,88.45051215,190.5
Damien Wilkins,102.0582833,198.12
Damion James,102.0582833,200.66
Damir Markota,102.0582833,208.28
Damon Jones,83.91458845,190.5
Damon Stoudamire,77.56429527,177.8
Damone Brown,90.718474,205.74
Dan Anderson,83.91458845,187.96
Dan Dickau,86.1825503,182.88
Dan Gadzuric,108.8621688,210.82
Dan Godfread,113.3980925,208.28
Dan Issel,106.594207,205.74
Dan King,99.7903214,198.12
Dan Langhi,99.7903214,210.82
Dan Majerle,97.52235955,198.12
Dan McClintock,122.4699399,213.36
Dan O'Sullivan,113.3980925,208.28
Dan Roundfield,92.98643585,203.2
Dan Swartz,97.52235955,193.04
Dan Tieman,83.91458845,182.88
Dana Barros,73.93555631,180.34
Dane Suttle,86.1825503,190.5
Daniel Ewing,83.91458845,190.5
Daniel Gibson,86.1825503,187.96
Daniel Orton,115.6660544,208.28
Daniel Santiago,116.1196467,215.9
Danilo Gallinari,102.0582833,208.28
Danny Ainge,79.37866475,193.04
Danny Doyle,90.718474,203.2
Danny Ferry,104.3262451,208.28
Danny Finn,83.91458845,185.42
Danny Fortson,117.9340162,200.66
Danny Granger,102.0582833,203.2
Danny Green,95.2543977,198.12
Danny Manning,104.3262451,208.28
Danny Schayes,106.594207,210.82
Danny Vranes,95.2543977,200.66
Danny Young,79.37866475,190.5
Dante Cunningham,104.3262451,203.2
Darington Hobson,95.2543977,200.66
Darius Johnson-Odom,97.52235955,187.96
Darius Miles,95.2543977,205.74
Darius Miller,106.594207,203.2
Darius Morris,86.1825503,193.04
Darius Songaila,112.4909078,205.74
Darius Washington,88.45051215,187.96
Darko Milicic,113.3980925,213.36
Darnell Hillman,97.52235955,205.74
Darnell Jackson,114.7588696,205.74
Darnell Mee,79.37866475,195.58
Darnell Valentine,83.00740371,185.42
Darrall Imhoff,99.7903214,208.28
Darrell Allums,99.7903214,205.74
Darrell Armstrong,77.1107029,182.88
Darrell Arthur,102.0582833,205.74
Darrell Elston,86.1825503,193.04
Darrell Griffith,86.1825503,193.04
Darrell Lockhart,111.1301307,205.74
Darrell Walker,81.6466266,193.04
Darren Collison,72.5747792,182.88
Darren Daye,99.7903214,203.2
Darren Morningstar,106.594207,208.28
Darren Tillis,97.52235955,210.82
