"affiliation","marijuana_use"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","never"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","sometimes"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
"other","often"
