"affiliation","marijuana_use"
"conservative","often"
"conservative","often"
"conservative","often"
"conservative","often"
"conservative","often"
"conservative","often"
"conservative","often"
"conservative","often"
"conservative","often"
"conservative","often"
"conservative","often"
"conservative","often"
"conservative","often"
"conservative","often"
"conservative","often"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
