"","ciudad","paro","violencia","educacion"
"161","Lincoln city",4.2742853,5.8026547,7.3571444
"162","Omaha city",4.830001,6.2994714,12.504285
"163","Henderson city",6.1814284,4.987518,7.9771423
"164","Las Vegas city",7.812855,7.5299406,17.628574
"165","Reno city",6.537143,6.2304273,14.691429
"166","Manchester city",5.089999,6.219921,14.101432
"167","Elizabeth city",8.124286,6.64645,28.504293
"168","Jersey City city",7.021426,6.5734696,16.75715
"169","Newark city",11.557144,7.0376554,30.50856
"170","Paterson city",6.6585693,6.952739,29.730007
"171","Albuquerque city",5.297143,6.5575566,11.525713
"172","Buffalo city",7.4614267,7.1266136,18.597137
"173","New York city",6.360002,6.441128,21.034292
"174","Rochester city",8.188572,6.8347907,20.987143
"175","Syracuse city",6.824288,6.7968736,20.434288
"176","Yonkers city",5.687143,6.3279696,18.144283
"177","Cary town",3.45,4.3033752,4.811426
"178","Charlotte city",7.242858,6.50114,12.317138
"179","Durham city",5.4185734,6.5556264,13.448568
"180","Fayetteville city",7.0914307,6.316924,9.88286
"181","Greensboro city",6.1728563,6.299068,12.194285
"182","High Point city",7.691429,6.2316613,15.661425
"183","Raleigh city",5.5971427,5.9990773,9.6171465
"184","Wilmington city",7.077142,6.308937,11.322855
"185","Winston-Salem city",6.701431,6.4593954,16.068577
"186","Fargo city",3.2114284,5.7055964,5.791428
"187","Akron city",8.181428,6.685612,14.997143
"188","Cincinnati city",7.9271445,6.8119736,16.062853
"189","Cleveland city",10.605716,7.161888,23.809996
"190","Columbus city",5.834284,5.5642023,12.348574
"191","Dayton city",8.937141,6.800146,19.515717
"192","Broken Arrow city",3.9214296,4.8001933,6.7228556
"193","Norman city",3.6871443,4.6716013,7.318573
"194","Oklahoma City city",4.2228565,6.758481,15.512854
"195","Tulsa city",4.8142853,6.827262,13.511428
"196","Eugene city",5.741427,5.4284515,6.981427
"197","Gresham city",7.3799987,6.051168,16.347143
"198","Portland city",6.257143,6.1789618,9.804285
"199","Salem city",7.530002,5.814872,14.3271475
"200","Allentown city",8.737141,6.2262573,23.594294
"201","Erie city",6.402857,5.963346,14.345709
"202","Philadelphia city",8.412858,7.007311,20.028566
"203","Pittsburgh city",5.8299985,6.6226597,10.407146
"204","Providence city",8.277141,6.377284,28.117142
"205","Charleston city",4.761428,5.418871,8.141426
"206","Columbia city",6.364283,6.622872,14.161428
"207","North Charleston city",7.5071416,6.518125,20.441433
"208","Sioux Falls city",3.304287,5.7446933,9.524287
"209","Chattanooga city",6.328574,6.8810816,16.47286
"210","Clarksville city",5.85,6.407265,9.268573
"211","Knoxville city",4.687143,6.822013,14.200003
"212","Memphis city",8.142858,7.4389577,17.54714
"213","Murfreesboro city",5.71714,6.360086,9.7585745
"214","Nashville-Davidson metropolitan government (balance)",5.370001,7.0744653,14.522855
"215","Abilene city",4.0300026,5.899768,17.48429
"216","Amarillo city",3.655715,6.4065003,17.221428
"217","Arlington city",5.8028564,6.1716557,15.387138
"218","Austin city",4.69,5.956653,13.502857
"219","Beaumont city",6.1157136,6.8965025,16.321426
"220","Brownsville city",6.3085723,5.5019484,38.50573
"221","Carrollton city",3.9528565,4.9560895,14.40428
"222","Corpus Christi city",4.6200027,6.4072957,19.565723
"223","Dallas city",5.77857,6.4729137,26.258575
"224","Denton city",6.2457166,5.479403,12.045717
"225","El Paso city",5.0428553,6.0054746,24.058563
"226","Fort Worth city",5.4928555,6.298998,20.695715
