"","country","code","male","female"
"176","Senegal","SEN",11.6437059721429,11.1450417892857
"177","Serbia","SRB",11.0703821489286,11.4052941357143
"178","Seychelles","SYC",10.6667940082143,11.1666966567857
"179","Sierra Leone","SLE",11.7519544428571,11.7937381403571
"180","Singapore","SGP",12.1499974735714,13.1012947792857
"181","Slovakia","SVK",10.9289317685714,11.2289983532143
"182","Slovenia","SVN",11.5429256803571,12.0072023992857
"183","Solomon Islands","SLB",11.3336760921429,11.6240119410714
"184","Somalia","SOM",12.6994497064286,13.563263305
"185","South Africa","ZAF",12.6284250192857,12.708248215
"186","South Asia","",14.2101074321429,14.7007433678571
"187","South Korea","KOR",10.8304937653571,12.2075865503571
"188","South Sudan","SSD",11.8273297414286,12.8434397985714
"189","Southeast Asia","",10.7580578053571,11.6715202189286
"190","Southeast Asia, East Asia, and Oceania","",11.1873351978571,11.6875994503571
"191","Southern Latin America","",13.6803302971429,17.6755875492857
"192","Southern Sub-Saharan Africa","",12.6303582810714,12.3383035667857
"193","Spain","ESP",14.59749583,17.5173602446429
"194","Sri Lanka","LKA",11.6513659082143,12.4005491060714
"195","Sub-Saharan Africa","",12.2719345307143,12.5274019792857
"196","Sudan","SDN",16.4286595714286,16.6520681442857
"197","Suriname","SUR",13.9016328935714,14.6122495339286
"198","Swaziland","SWZ",12.8622070753571,11.8669002914286
"199","Sweden","SWE",14.1709243410714,17.1482676992857
"200","Switzerland","CHE",13.6707582564286,16.3183783828571
"201","Syria","SYR",14.6851924682143,15.3160635864286
"202","Taiwan","TWN",11.6074370014286,11.2654537603571
"203","Tajikistan","TJK",10.7451948303571,10.7701418785714
"204","Tanzania","TZA",11.9621751992857,12.9739168278571
"205","Thailand","THA",12.6085965707143,11.8371334410714
"206","Timor","TLS",11.9019498817857,13.0426912007143
"207","Togo","TGO",11.8277493410714,11.6855248621429
"208","Tonga","TON",10.7581488921429,11.1635697696429
"209","Trinidad and Tobago","TTO",13.84361679,14.1536883592857
"210","Tropical Latin America","",13.2075094471429,16.2158352689286
"211","Tunisia","TUN",15.2222959292857,15.603777255
"212","Turkey","TUR",14.3591491575,14.5076852007143
"213","Turkmenistan","TKM",10.7140903282143,10.7111625192857
"214","Uganda","UGA",13.2032244717857,14.2829563757143
"215","Ukraine","UKR",12.16155381,12.3167492789286
"216","United Arab Emirates","ARE",12.331768225,13.0679325917857
"217","United Kingdom","GBR",14.0515791471429,15.1424480207143
"218","United States","USA",16.3605945578571,18.2692075235714
"219","United States Virgin Islands","VIR",13.5479741221429,13.8291568207143
"220","Uruguay","URY",13.5764778146429,17.3083102478571
"221","Uzbekistan","UZB",10.8530186742857,10.7921271771429
"222","Vanuatu","VUT",11.1423623892857,11.4078772596429
"223","Venezuela","VEN",11.1255311546429,10.9800272257143
"224","Vietnam","VNM",9.07442355092857,11.1109937292857
"225","Wales","",13.8369139117857,15.21453839
"226","Western Europe","",13.9247380171429,16.7027621853571
"227","Western Sub-Saharan Africa","",11.870745435,11.9254587925
"228","World","OWID_WRL",12.68710368,13.4550888592857
"229","Yemen","YEM",15.5651555314286,16.3886223392857
"230","Zambia","ZMB",11.9552092789286,12.4857819639286
"231","Zimbabwe","ZWE",12.3617183617857,10.6526101321429
