region,ave,FID
America-Australia,Pelecanus conspicillatus,32.6
America-Australia,Pelecanus occidentalis,27.38
America-Australia,Petrochelidon ariel,8.9
America-Australia,Petroica boodang,8
America-Australia,Petroica rosea,13.1
America-Australia,Phalacrocorax auritus,31.27
America-Australia,Phalacrocorax carbo,74
America-Australia,Phalacrocorax sulcirostris,57.3
America-Australia,Phalacrocorax varius,77.9
America-Australia,Phaps chalcopetra,21.6
America-Australia,Philemon buceroides,12
America-Australia,Philemon citreogularis,6.8
America-Australia,Philemon corniculatus,11.1
America-Australia,Phylidonyris melanops ,9.8
America-Australia,Phylidonyris niger,2.3
America-Australia,Phylidonyris novaehollandidae ,6.6
America-Australia,Phylloscopus collybita,6
America-Australia,Pipilo crissalis,11.9
America-Australia,Pipilo maculatus ,9.4
America-Australia,Platalea flavipes,24.7
America-Australia,Platalea regia,55
America-Australia,Platycercus adscitus,21
America-Australia,Platycercus elegans ,8.5
America-Australia,Platycercus eximius ,13.9
America-Australia,Plectorhyncha lanceolata,4.6
America-Australia,Plegadis falcinellus,56.3
America-Australia,Pluvialis dominica,49.33
America-Australia,Pluvialis fulva ,21.9
America-Australia,Pluvialis squatarola,44
America-Australia,Podargus strigoides,6.2
America-Australia,Poliocephalus poliocephalus,23.8
America-Australia,Pomatostomus ruficeps,11.8
America-Australia,Pomatostomus superciliosus,16.9
America-Australia,Pooecetes gramineus,16.95
America-Australia,Porphyrio porphyria,57.9
America-Australia,Porzana pusilla,8.2
America-Australia,Psaltriparus minimus ,7.4
America-Australia,Psephotus haematonotus,11.2
America-Australia,Psophodes olivaceus,5.8
America-Australia,Ptilonorhynchus violaceus,8.4
America-Australia,Ptiloris victoriae,6.5
America-Australia,Pycnonotus jocosus ,17.3
America-Australia,Pycnoptilus floccosus,16.9
America-Australia,Recurvirostra novaehollandiae,32.5
America-Australia,Regulus calendula ,4.7
America-Australia,Rhipidura fuliginosa,5.6
America-Australia,Rhipidura leucophrys,23.5
America-Australia,Rhipidura rufifrons ,6.4
