Continent,Disturbance,Order,Family,Scientific name ,Common name ,FID
Australia,Motorized vehicle,Charadriiformes,Laridae,Chlidonias hybrida ,whiskered tern ,46.5
Australia,Motorized vehicle,Charadriiformes,Laridae,Larus novaehollandiae,silver gull,17.4
Australia,Pedestrian,Charadriiformes,Laridae ,Sterna albifrons ,little tern ,21.5
Australia,Motorized vehicle,Charadriiformes,Recurvirostridae,Himantopus himantopus ,black-winged stilt ,19.7
Australia,Pedestrian,Charadriiformes,Recurvirostridae,Recurvirostra novaehollandiae,red-necked avocet,32.5
Australia,Motorized vehicle,Charadriiformes,Recurvirostridae,Recurvirostra novaehollandiae ,red-necked avocet ,56.9
Australia,Dog,Charadriiformes,Recurvirostridae ,Cladorhynchus leucocephalus,banded stilt,40.2
Australia,Motorized watercraft,Charadriiformes,Recurvirostridae ,Cladorhynchus leucocephalus,banded stilt,28.8
Australia,Non-motorized watercraft,Charadriiformes,Recurvirostridae ,Cladorhynchus leucocephalus,banded stilt,24.7
Australia,Pedestrian,Charadriiformes,Recurvirostridae ,Cladorhynchus leucocephalus,banded stilt,32.8
Australia,Pedestrian,Charadriiformes,Recurvirostridae ,Himantopus himantopus,black-winged stilt ,38.00
Australia,Dog,Charadriiformes,Recurvirostridae ,Himantopus himantopus,black-winged stilt,43.5
Australia,Motorized watercraft,Charadriiformes,Recurvirostridae ,Himantopus himantopus,black-winged stilt,33.5
Australia,Non-motorized watercraft,Charadriiformes,Recurvirostridae ,Himantopus himantopus,black-winged stilt,35.8
Australia,Pedestrian,Charadriiformes,Recurvirostridae ,Himantopus himantopus,black-winged stilt,39.3
Australia,Pedestrian,Charadriiformes,Recurvirostridae ,Himantopus himantopus ,black-winged stilt ,38.3
Australia,Pedestrian,Charadriiformes,Recurvirostridae ,Recurvirostra novaehollandiae,red-necked avocet,73.00
Australia,Motorized watercraft,Charadriiformes,Recurvirostridae ,Recurvirostra novaehollandiae,red-necked avocet,57.0
Australia,Non-motorized watercraft,Charadriiformes,Recurvirostridae ,Recurvirostra novaehollandiae,red-necked avocet,43.0
Australia,Pedestrian,Charadriiformes,Recurvirostridae ,Recurvirostra novaehollandiae,red-necked avocet,60.4
Australia,Pedestrian,Charadriiformes,Scolopacidae,Calidris acuminata,sharp-tailed sandpiper,14.8
Australia,Dog,Charadriiformes,Scolopacidae,Calidris acuminata,sharp-tailed sandpiper,39.3
Australia,Motorized watercraft,Charadriiformes,Scolopacidae,Calidris acuminata,sharp-tailed sandpiper,35.7
Australia,Non-motorized watercraft,Charadriiformes,Scolopacidae,Calidris acuminata,sharp-tailed sandpiper,28.1
Australia,Pedestrian,Charadriiformes,Scolopacidae,Calidris acuminata,sharp-tailed sandpiper,33.2
Australia,Motorized vehicle,Charadriiformes,Scolopacidae,Calidris acuminata ,sharp-tailed sandpiper  ,35.4
Australia,Motorized watercraft,Charadriiformes,Scolopacidae,Calidris ferruginea,curlew sandpiper,29.8
Australia,Non-motorized watercraft,Charadriiformes,Scolopacidae,Calidris ferruginea,curlew sandpiper,26.8
Australia,Pedestrian,Charadriiformes,Scolopacidae,Calidris ferruginea,curlew sandpiper,34.8
Australia,Dog,Charadriiformes,Scolopacidae,Calidris ruficollis,red-necked stint,32.6
Australia,Non-motorized watercraft,Charadriiformes,Scolopacidae,Calidris ruficollis,red-necked stint,17.3
Australia,Pedestrian,Charadriiformes,Scolopacidae,Calidris ruficollis,red-necked stint,20.0
Australia,Pedestrian,Charadriiformes,Scolopacidae,Calidris ruficollis,red-necked stint,28.1
Australia,Motorized watercraft,Charadriiformes,Scolopacidae,Limosa lapponica,bar-tailed godwit,53.5
Australia,Non-motorized watercraft,Charadriiformes,Scolopacidae,Limosa lapponica,bar-tailed godwit,41.9
Australia,Pedestrian,Charadriiformes,Scolopacidae,Limosa lapponica,bar-tailed godwit,48.6
Australia,Pedestrian,Charadriiformes,Scolopacidae,Numenius madagascariensis,eastern curlew,97.5
Australia,Dog,Charadriiformes,Scolopacidae,Tringa nebularia,common greenshank,80.3
Australia,Motorized watercraft,Charadriiformes,Scolopacidae,Tringa nebularia,common greenshank,60.7
Australia,Non-motorized watercraft,Charadriiformes,Scolopacidae,Tringa nebularia,common greenshank,51.5
Australia,Pedestrian,Charadriiformes,Scolopacidae,Tringa nebularia,common greenshank,70.0
Australia,Pedestrian,Charadriiformes,Scolopacidae ,Arenaria interpres,ruddy turnstone,29.66
Australia,Pedestrian,Charadriiformes,Scolopacidae ,Caldris acuminata,sharp-tailed sandpiper,20.29
Australia,Pedestrian,Charadriiformes,Scolopacidae ,Caldris alba,sanderling,32.00
Australia,Pedestrian,Charadriiformes,Scolopacidae ,Caldris ferruginea,curlew sandpiper,25.19
Australia,Pedestrian,Charadriiformes,Scolopacidae ,Caldris melanotos,pectoral sandpiper,23.00
Australia,Pedestrian,Charadriiformes,Scolopacidae ,Caldris ruficollis,red-necked stinta,18.73
Australia,Motorized vehicle,Charadriiformes,Scolopacidae ,Calidris ruficollis,red-necked stint,26.3
Australia,Pedestrian,Charadriiformes,Scolopacidae ,Gallinago hardwickii,Latham’s snipe,62.62
Australia,Pedestrian,Charadriiformes,Scolopacidae ,Limosa lapponica,bar-tailed godwit ,59.50
Australia,Pedestrian,Charadriiformes,Scolopacidae ,Limosa limosa,black-tailed godwit,31.25
Australia,Pedestrian,Charadriiformes,Scolopacidae ,Numenius madagascariensis,eastern curlew,126.13
Australia,Pedestrian,Charadriiformes,Scolopacidae ,Numenius phaeopus,whimbrel ,90.00
Australia,Pedestrian,Charadriiformes,Scolopacidae ,Tringa nebularia,common greenshank,55.41
Australia,Pedestrian,Charadriiformes,Scolopacidae ,Tringa stagnatilis,marsh sandpiper,44.10
Australia,Motorized vehicle,Ciconiiformes,Ardeidae,Ardea modesta,eastern great egret,32.8
Australia,Pedestrian,Ciconiiformes,Ardeidae,Ardea modesta,eastern great egret,57.0
Australia,Bicycle,Ciconiiformes,Ardeidae,Ardea modesta ,eastern great egret ,58.3
Australia,Motorized vehicle,Ciconiiformes,Ardeidae,Ardea modesta ,eastern great egret ,70.0
Australia,Motorized vehicle,Ciconiiformes,Ardeidae,Ardea modesta ,eastern great egret ,36.7
Australia,Pedestrian,Ciconiiformes,Ardeidae,Ardea modesta ,eastern great egret ,57.2
Australia,Pedestrian,Ciconiiformes,Ardeidae,Ardea modesta ,eastern great egret ,57.7
Australia,Motorized vehicle,Ciconiiformes,Ardeidae,Ardea pacifica,white-necked heron,26.4
Australia,Pedestrian,Ciconiiformes,Ardeidae,Ardea pacifica,white-necked heron,63.4
Australia,Motorized vehicle,Ciconiiformes,Ardeidae,Ardea pacifica,white-necked heron ,26.4
Australia,Pedestrian,Ciconiiformes,Ardeidae,Ardea pacifica,white-necked heron ,63.4
Australia,Pedestrian,Ciconiiformes,Ardeidae,Bubulcus ibis,cattle egret,23.4
Australia,Pedestrian,Ciconiiformes,Ardeidae,Bubulcus ibis ,cattle egret ,23.4
Australia,Non-motorized watercraft,Ciconiiformes,Ardeidae,Egretta garzetta,little egret ,25
Australia,Pedestrian,Ciconiiformes,Ardeidae,Egretta garzetta,little egret ,62.3
Australia,Pedestrian,Ciconiiformes,Ardeidae,Egretta garzetta,little egret,35.0
Australia,Pedestrian,Ciconiiformes,Ardeidae,Egretta garzetta ,little egret ,52.4
Australia,Pedestrian,Ciconiiformes,Ardeidae,Egretta garzetta ,little egret  ,35.0
Australia,Motorized vehicle,Ciconiiformes,Ardeidae,Egretta novaehollandiae,white-faced heron,63.0
Australia,Pedestrian,Ciconiiformes,Ardeidae,Egretta novaehollandiae,white-faced heron,46.4
Australia,Motorized vehicle,Ciconiiformes,Ardeidae,Egretta novaehollandiae ,white-faced heron ,81.4
Australia,Motorized vehicle,Ciconiiformes,Ardeidae,Egretta novaehollandiae ,white-faced heron ,44.7
